合约代码,今开盘,最高价,最低价,成交量,成交金额,持仓量,持仓变化,今收盘,今结算,前结算,涨跌1,涨跌2,Delta,datetime
IF2001                        ,4131.2,4190.6,4131.2,81815,10215849.15,81731.0,8705.0,4160.4,4163.4,4105.0,55.4,58.4,--,20200102
IF2002                        ,4140.2,4199.6,4140.2,1814,226966.626,2586.0,195.0,4172.2,4175.2,4113.8,58.4,61.4,--,20200102
IF2003                        ,4158.2,4209.4,4150.6,16677,2091700.308,39591.0,3475.0,4179.0,4183.0,4119.8,59.2,63.2,--,20200102
IF2006                        ,4142.2,4209.0,4142.2,4219,528916.422,14645.0,595.0,4179.6,4182.2,4116.4,63.2,65.8,--,20200102
IF2001                        ,4171.2,4175.2,4145.2,59449,7418951.646,73043.0,-8688.0,4151.8,4155.6,4163.4,-11.6,-7.8,--,20200103
IF2002                        ,4185.6,4187.0,4157.0,1231,154028.58,2911.0,325.0,4162.0,4167.2,4175.2,-13.2,-8.0,--,20200103
IF2003                        ,4190.4,4195.0,4164.2,11096,1391187.006,37683.0,-1908.0,4170.0,4173.8,4183.0,-13.0,-9.2,--,20200103
IF2006                        ,4192.8,4196.0,4163.4,3132,392564.124,15017.0,372.0,4167.2,4172.0,4182.2,-15.0,-10.2,--,20200103
IF2001                        ,4133.2,4184.8,4103.4,84030,10463897.832,79552.0,6509.0,4132.6,4126.8,4155.6,-23.0,-28.8,--,20200106
IF2002                        ,4149.4,4197.2,4114.8,2982,372303.498,4041.0,1130.0,4143.2,4138.0,4167.2,-24.0,-29.2,--,20200106
IF2003                        ,4150.0,4205.0,4123.4,17733,2218065.084,39858.0,2175.0,4152.6,4144.8,4173.8,-21.2,-29.0,--,20200106
IF2006                        ,4150.0,4204.0,4121.8,5003,625815.396,16140.0,1123.0,4150.0,4144.4,4172.0,-22.0,-27.6,--,20200106
IF2001                        ,4147.6,4173.8,4140.2,67920,8469905.112,72759.0,-6793.0,4162.4,4158.6,4126.8,35.6,31.8,--,20200107
IF2002                        ,4167.0,4184.0,4152.0,2143,267895.02,4307.0,266.0,4171.4,4167.4,4138.0,33.4,29.4,--,20200107
IF2003                        ,4176.0,4193.8,4160.2,13252,1660416.954,39574.0,-284.0,4180.8,4175.8,4144.8,36.0,31.0,--,20200107
IF2006                        ,4163.8,4191.2,4158.6,3644,456350.304,15824.0,-316.0,4175.6,4172.4,4144.4,31.2,28.0,--,20200107
IF2001                        ,4137.0,4160.2,4105.2,78425,9727939.764,75531.0,2772.0,4125.6,4120.6,4158.6,-33.0,-38.0,--,20200108
IF2002                        ,4145.8,4168.6,4116.0,2349,292073.232,5129.0,822.0,4131.8,4128.6,4167.4,-35.6,-38.8,--,20200108
IF2003                        ,4157.2,4175.8,4121.0,15466,1925690.04,41480.0,1906.0,4138.2,4135.2,4175.8,-37.6,-40.6,--,20200108
IF2006                        ,4151.0,4173.6,4116.8,4895,608994.03,16934.0,1110.0,4133.6,4129.4,4172.4,-38.8,-43.0,--,20200108
IF2001                        ,4153.0,4174.6,4145.2,67568,8434039.59,67756.0,-7775.0,4166.4,4161.0,4120.6,45.8,40.4,--,20200109
IF2002                        ,4160.0,4181.2,4153.6,2124,265591.092,5115.0,-14.0,4174.0,4168.8,4128.6,45.4,40.2,--,20200109
IF2003                        ,4171.4,4189.8,4158.0,13886,1739116.29,40629.0,-851.0,4177.2,4172.2,4135.2,42.0,37.0,--,20200109
IF2006                        ,4160.8,4184.0,4153.2,4236,529616.592,16442.0,-492.0,4170.2,4165.8,4129.4,40.8,36.4,--,20200109
IF2001                        ,4182.0,4188.6,4151.6,58591,7320872.406,66326.0,-1430.0,4165.0,4167.2,4161.0,4.0,6.2,--,20200110
IF2002                        ,4185.8,4198.0,4161.0,3031,379499.412,6402.0,1287.0,4172.2,4177.6,4168.8,3.4,8.8,--,20200110
