合约代码,今开盘,最高价,最低价,成交量,成交金额,持仓量,持仓变化,今收盘,今结算,前结算,涨跌1,涨跌2,Delta,datetime
IH2001                        ,3093.0,3116.8,3084.0,27268,2536067.898,30691.0,3459.0,3097.2,3098.2,3070.6,26.6,27.6,--,20200102
IH2002                        ,3096.6,3122.0,3092.0,982,91522.83,1612.0,397.0,3101.8,3106.4,3077.0,24.8,29.4,--,20200102
IH2003                        ,3099.8,3127.8,3096.0,6670,622553.412,22910.0,648.0,3105.8,3109.0,3080.4,25.4,28.6,--,20200102
IH2006                        ,3100.0,3126.8,3095.4,2219,206969.466,7172.0,465.0,3105.2,3107.4,3078.2,27.0,29.2,--,20200102
IH2001                        ,3107.0,3107.0,3079.0,20460,1897224.27,27359.0,-3332.0,3080.4,3083.8,3098.2,-17.8,-14.4,--,20200103
IH2002                        ,3117.0,3117.0,3086.4,622,57806.658,1683.0,71.0,3088.8,3091.6,3106.4,-17.6,-14.8,--,20200103
IH2003                        ,3113.2,3116.4,3088.6,4821,448502.088,22159.0,-751.0,3090.2,3094.4,3109.0,-18.8,-14.6,--,20200103
IH2006                        ,3116.8,3118.6,3087.0,1727,160638.648,7355.0,183.0,3088.8,3092.2,3107.4,-18.6,-15.2,--,20200103
IH2001                        ,3071.8,3096.8,3039.2,29104,2684747.562,30249.0,2890.0,3058.4,3055.4,3083.8,-25.4,-28.4,--,20200106
IH2002                        ,3077.4,3099.0,3045.2,1206,111454.854,2093.0,410.0,3066.0,3061.2,3091.6,-25.6,-30.4,--,20200106
IH2003                        ,3075.2,3102.8,3045.6,7866,727796.166,22813.0,654.0,3060.0,3063.8,3094.4,-34.4,-30.6,--,20200106
IH2006                        ,3075.0,3104.0,3042.2,2208,204121.236,7475.0,120.0,3066.0,3060.8,3092.2,-26.2,-31.4,--,20200106
IH2001                        ,3069.0,3086.8,3062.2,23925,2205541.224,26221.0,-4028.0,3073.4,3071.6,3055.4,18.0,16.2,--,20200107
IH2002                        ,3072.0,3091.8,3068.0,744,68703.132,2175.0,82.0,3078.8,3075.6,3061.2,17.6,14.4,--,20200107
IH2003                        ,3073.0,3096.8,3070.6,5566,514707.144,21668.0,-1145.0,3081.6,3079.6,3063.8,17.8,15.8,--,20200107
IH2006                        ,3073.4,3093.0,3068.0,1735,160265.88,7692.0,217.0,3079.0,3076.8,3060.8,18.2,16.0,--,20200107
IH2001                        ,3054.8,3065.6,3034.0,24585,2250340.374,26519.0,298.0,3046.6,3043.2,3071.6,-25.0,-28.4,--,20200108
IH2002                        ,3064.8,3072.8,3041.2,1145,104950.578,2411.0,236.0,3050.4,3048.2,3075.6,-25.2,-27.4,--,20200108
IH2003                        ,3066.4,3072.8,3042.4,5878,539301.426,22168.0,500.0,3051.4,3050.0,3079.6,-28.2,-29.6,--,20200108
IH2006                        ,3064.8,3069.4,3040.0,2096,192224.472,7924.0,232.0,3049.0,3046.2,3076.8,-27.8,-30.6,--,20200108
IH2001                        ,3061.0,3076.6,3058.4,22082,2032009.35,24356.0,-2163.0,3067.6,3065.8,3043.2,24.4,22.6,--,20200109
IH2002                        ,3069.0,3079.8,3063.2,913,84142.578,2541.0,130.0,3075.0,3071.8,3048.2,26.8,23.6,--,20200109
IH2003                        ,3071.6,3083.4,3063.8,4640,427864.128,21308.0,-860.0,3075.8,3072.2,3050.0,25.8,22.2,--,20200109
IH2006                        ,3065.2,3080.0,3061.8,1458,134327.304,7934.0,10.0,3072.4,3069.0,3046.2,26.2,22.8,--,20200109
IH2001                        ,3078.6,3084.6,3063.0,18812,1732874.916,23245.0,-1111.0,3071.4,3071.0,3065.8,5.6,5.2,--,20200110
IH2002                        ,3089.0,3089.8,3069.2,1200,110746.662,3036.0,495.0,3077.6,3076.6,3071.8,5.8,4.8,--,20200110
IH2003                        ,3084.6,3090.0,3070.0,4328,399516.774,21510.0,202.0,3078.6,3077.4,3072.2,6.4,5.2,--,20200110
IH2006                        ,3084.0,3086.2,3067.2,1374,126673.446,8144.0,210.0,3076.0,3073.6,3069.0,7.0,4.6,--,20200110
IH2001                        ,3074.6,3093.6,3056.2,23720,2185818.528,23984.0,739.0,3093.4,3084.2,3071.0,22.4,13.2,--,20200113
IH2002                        ,3077.6,3100.0,3061.8,2296,212027.904,4222.0,1186.0,3099.4,3089.4,3076.6,22.8,12.8,--,20200113
IH2003                        ,3080.6,3102.4,3063.4,5297,489475.86,21524.0,14.0,3102.2,3092.6,3077.4,24.8,15.2,--,20200113
IH2006                        ,3074.6,3098.0,3061.6,1483,136861.686,8059.0,-85.0,3098.0,3089.4,3073.6,24.4,15.8,--,20200113
IH2001                        ,3099.6,3115.6,3080.4,20680,1921703.124,21544.0,-2440.0,3087.2,3085.0,3084.2,3.0,0.8,--,20200114
IH2002                        ,3104.0,3121.4,3086.4,3506,326244.6,5713.0,1491.0,3093.4,3091.0,3089.4,4.0,1.6,--,20200114
IH2003                        ,3115.0,3123.8,3091.4,6238,581408.688,22142.0,618.0,3096.6,3094.2,3092.6,4.0,1.6,--,20200114
IH2006                        ,3101.2,3119.0,3089.0,1867,173808.48,8628.0,569.0,3094.2,3092.4,3089.4,4.8,3.0,--,20200114
IH2001                        ,3085.2,3093.0,3054.2,20463,1882642.596,17897.0,-3647.0,3054.4,3060.4,3085.0,-30.6,-24.6,--,20200115
IH2002                        ,3095.4,3097.0,3057.6,6881,633889.788,9246.0,3533.0,3058.0,3066.8,3091.0,-33.0,-24.2,--,20200115
IH2003                        ,3094.4,3100.8,3062.0,6584,607506.132,22252.0,110.0,3064.8,3069.8,3094.2,-29.4,-24.4,--,20200115
IH2006                        ,3094.2,3097.2,3060.0,1507,138933.306,8572.0,-56.0,3060.0,3067.4,3092.4,-32.4,-25.0,--,20200115
