,volume,volchange,buyvol,buyvolchange,sellvol,sellvolchange,net_vol_diff,datetime
一德期货,0.0,0.0,316.0,0.0,0.0,0.0,0,20210104
上海东证,3025.0,135.0,2189.0,-206.0,4569.0,-139.0,-67,20210104
上海中期,441.0,-92.0,483.0,-18.0,0.0,0.0,-18,20210104
东兴期货,977.0,50.0,1564.0,114.0,222.0,123.0,-9,20210104
东吴期货,0.0,0.0,0.0,0.0,161.0,-3.0,3,20210104
东海期货,0.0,0.0,678.0,41.0,0.0,0.0,41,20210104
中信建投,1930.0,-392.0,1784.0,-71.0,723.0,-62.0,-9,20210104
中信期货,8708.0,-1050.0,4643.0,136.0,9976.0,-134.0,270,20210104
中投天琪,114.0,7.0,191.0,-79.0,0.0,0.0,-79,20210104
中融汇信,0.0,0.0,0.0,0.0,192.0,0.0,0,20210104
中辉期货,173.0,102.0,204.0,-141.0,0.0,0.0,-141,20210104
中钢期货,0.0,0.0,0.0,0.0,112.0,-26.0,26,20210104
中银期货,0.0,0.0,0.0,0.0,1232.0,-5.0,5,20210104
五矿经易,3934.0,-764.0,2078.0,-212.0,705.0,-144.0,-68,20210104
光大期货,1250.0,-181.0,0.0,0.0,274.0,-8.0,8,20210104
兴业期货,0.0,0.0,0.0,0.0,901.0,225.0,-225,20210104
兴证期货,3551.0,185.0,2125.0,-49.0,1750.0,25.0,-74,20210104
华泰期货,3469.0,396.0,2877.0,-95.0,3806.0,-74.0,-21,20210104
华西期货,155.0,32.0,0.0,0.0,140.0,18.0,-18,20210104
华鑫期货,0.0,0.0,0.0,0.0,251.0,-2.0,2,20210104
华闻期货,5583.0,-502.0,1236.0,-441.0,1329.0,-493.0,52,20210104
南华期货,1739.0,240.0,1481.0,375.0,96.0,-2.0,377,20210104
和融期货,0.0,0.0,0.0,0.0,212.0,0.0,0,20210104
国信期货,2216.0,24.0,615.0,-28.0,0.0,0.0,-28,20210104
国元期货,0.0,0.0,0.0,0.0,221.0,2.0,-2,20210104
国富期货,555.0,277.0,0.0,0.0,264.0,212.0,-212,20210104
国投安信,4736.0,-65.0,2332.0,-32.0,1950.0,-128.0,96,20210104
国泰君安,8519.0,-1419.0,6548.0,-283.0,8943.0,-122.0,-161,20210104
大越期货,0.0,0.0,1584.0,11.0,0.0,0.0,11,20210104
天风期货,0.0,0.0,601.0,-1.0,0.0,0.0,-1,20210104
安粮期货,0.0,0.0,0.0,0.0,691.0,-19.0,19,20210104
宏源期货,0.0,0.0,669.0,-21.0,0.0,0.0,-21,20210104
宝城期货,0.0,0.0,329.0,2.0,0.0,0.0,2,20210104
平安期货,0.0,0.0,1791.0,171.0,1159.0,3.0,168,20210104
广发期货,1885.0,358.0,2575.0,87.0,2451.0,-134.0,221,20210104
建信期货,0.0,0.0,0.0,0.0,588.0,-3.0,3,20210104
招商期货,1860.0,-58.0,1452.0,90.0,1653.0,1.0,89,20210104
方正中期,366.0,-114.0,525.0,-14.0,0.0,0.0,-14,20210104
格林大华,0.0,0.0,0.0,0.0,206.0,3.0,-3,20210104
永安期货,1306.0,68.0,1415.0,-184.0,689.0,-1.0,-183,20210104
浙商期货,397.0,-7.0,0.0,0.0,0.0,0.0,0,20210104
海证期货,1700.0,1320.0,0.0,0.0,1430.0,1328.0,-1328,20210104
海通期货,6901.0,674.0,3556.0,118.0,3758.0,-305.0,423,20210104
混沌天成,0.0,0.0,656.0,308.0,0.0,0.0,308,20210104
瑞银期货,0.0,0.0,0.0,0.0,3220.0,0.0,0,20210104
申银万国,1535.0,-301.0,779.0,-176.0,1641.0,-24.0,-152,20210104
银河期货,2434.0,-639.0,2447.0,209.0,5109.0,151.0,58,20210104
鲁证期货,1569.0,-541.0,0.0,0.0,0.0,0.0,0,20210104
一德期货,83.0,79.0,326.0,10.0,0.0,0.0,10,20210105
上海东证,2561.0,-464.0,2166.0,-23.0,4485.0,-84.0,61,20210105
上海中期,390.0,-51.0,478.0,-5.0,0.0,0.0,-5,20210105
东兴期货,722.0,-255.0,1111.0,-34.0,0.0,0.0,-34,20210105
东吴期货,0.0,0.0,0.0,0.0,139.0,-22.0,22,20210105
东海期货,0.0,0.0,625.0,-53.0,0.0,0.0,-53,20210105
中信建投,1599.0,-331.0,1758.0,-26.0,523.0,15.0,-41,20210105
中信期货,9863.0,1155.0,4912.0,269.0,10440.0,464.0,-195,20210105
中投天琪,0.0,0.0,187.0,-4.0,0.0,0.0,-4,20210105
中融汇信,0.0,0.0,0.0,0.0,195.0,3.0,-3,20210105
中辉期货,0.0,0.0,199.0,-5.0,0.0,0.0,-5,20210105
中钢期货,0.0,0.0,0.0,0.0,152.0,40.0,-40,20210105
中银期货,0.0,0.0,0.0,0.0,1230.0,-2.0,2,20210105
五矿经易,3621.0,-313.0,2228.0,150.0,1018.0,131.0,19,20210105
光大期货,1267.0,106.0,0.0,0.0,503.0,27.0,-27,20210105
兴业期货,1227.0,181.0,0.0,0.0,555.0,-346.0,346,20210105
兴证期货,3432.0,-192.0,2063.0,-62.0,1721.0,-29.0,-33,20210105
华泰期货,3197.0,-272.0,3040.0,163.0,3696.0,-110.0,273,20210105
