,volume,volchange,buyvol,buyvolchange,sellvol,sellvolchange,net_vol_diff,datetime
上海东证,2907.0,2907.0,1427.0,1427.0,1296.0,1296.0,131,20220722
东兴期货,0.0,0.0,270.0,270.0,271.0,271.0,-1,20220722
中信建投,835.0,835.0,268.0,268.0,279.0,279.0,-11,20220722
中信期货,5214.0,5214.0,2357.0,2357.0,2449.0,2449.0,-92,20220722
乾坤期货,0.0,0.0,531.0,531.0,0.0,0.0,531,20220722
五矿期货,895.0,895.0,430.0,430.0,419.0,419.0,11,20220722
光大期货,584.0,584.0,0.0,0.0,0.0,0.0,0,20220722
兴证期货,2125.0,2125.0,1106.0,1106.0,913.0,913.0,193,20220722
华泰期货,1640.0,1640.0,696.0,696.0,716.0,716.0,-20,20220722
华闻期货,1385.0,1385.0,648.0,648.0,699.0,699.0,-51,20220722
南华期货,0.0,0.0,0.0,0.0,276.0,276.0,-276,20220722
国信期货,783.0,783.0,327.0,327.0,326.0,326.0,1,20220722
国富期货,923.0,923.0,455.0,455.0,234.0,234.0,221,20220722
国投安信,0.0,0.0,261.0,261.0,0.0,0.0,261,20220722
国泰君安,4694.0,4694.0,1852.0,1852.0,2194.0,2194.0,-342,20220722
大有期货,689.0,689.0,0.0,0.0,238.0,238.0,-238,20220722
平安期货,0.0,0.0,0.0,0.0,233.0,233.0,-233,20220722
广发期货,1439.0,1439.0,289.0,289.0,782.0,782.0,-493,20220722
招商期货,567.0,567.0,231.0,231.0,0.0,0.0,231,20220722
永安期货,1050.0,1050.0,268.0,268.0,450.0,450.0,-182,20220722
海通期货,2017.0,2017.0,756.0,756.0,1013.0,1013.0,-257,20220722
混沌天成,750.0,750.0,329.0,329.0,0.0,0.0,329,20220722
申银万国,901.0,901.0,314.0,314.0,393.0,393.0,-79,20220722
银河期货,789.0,789.0,324.0,324.0,351.0,351.0,-27,20220722
鲁证期货,798.0,798.0,0.0,0.0,240.0,240.0,-240,20220722
上海东证,2941.0,34.0,969.0,-458.0,879.0,-417.0,-41,20220725
东兴期货,1600.0,1053.0,1001.0,731.0,1002.0,731.0,0,20220725
中信建投,676.0,-159.0,278.0,10.0,301.0,22.0,-12,20220725
中信期货,5766.0,552.0,2258.0,-99.0,2368.0,-81.0,-18,20220725
乾坤期货,0.0,0.0,724.0,193.0,0.0,0.0,193,20220725
五矿期货,1023.0,128.0,281.0,-149.0,289.0,-130.0,-19,20220725
兴证期货,2173.0,48.0,839.0,-267.0,543.0,-370.0,103,20220725
华泰期货,1669.0,29.0,804.0,108.0,745.0,29.0,79,20220725
华西期货,616.0,501.0,312.0,283.0,223.0,177.0,106,20220725
华闻期货,3179.0,1794.0,1073.0,425.0,1009.0,310.0,115,20220725
南华期货,0.0,0.0,0.0,0.0,224.0,-52.0,52,20220725
国信期货,673.0,-110.0,310.0,-17.0,266.0,-60.0,43,20220725
国富期货,0.0,0.0,457.0,2.0,0.0,0.0,2,20220725
国投安信,0.0,0.0,371.0,110.0,0.0,0.0,110,20220725
国泰君安,5111.0,417.0,1944.0,92.0,2621.0,427.0,-335,20220725
大有期货,757.0,68.0,0.0,0.0,0.0,0.0,0,20220725
平安期货,840.0,400.0,320.0,181.0,268.0,35.0,146,20220725
广发期货,830.0,-609.0,341.0,52.0,974.0,192.0,-140,20220725
建信期货,0.0,0.0,0.0,0.0,413.0,329.0,-329,20220725
招商期货,648.0,81.0,0.0,0.0,0.0,0.0,0,20220725
永安期货,785.0,-265.0,0.0,0.0,365.0,-85.0,85,20220725
浙商期货,0.0,0.0,0.0,0.0,279.0,74.0,-74,20220725
海通期货,2934.0,917.0,759.0,3.0,1342.0,329.0,-326,20220725
申银万国,765.0,-136.0,413.0,99.0,315.0,-78.0,177,20220725
银河期货,822.0,33.0,326.0,2.0,353.0,2.0,0,20220725
鲁证期货,969.0,171.0,409.0,193.0,0.0,0.0,193,20220725
上海东方,430.0,34.0,0.0,0.0,0.0,0.0,0,20220726
上海东证,3818.0,877.0,2206.0,1237.0,2000.0,1121.0,116,20220726
东兴期货,1121.0,-479.0,680.0,-321.0,678.0,-324.0,3,20220726
中信建投,653.0,-23.0,331.0,53.0,215.0,-86.0,139,20220726
中信期货,4714.0,-1052.0,2574.0,316.0,2836.0,468.0,-152,20220726
中泰期货,740.0,-229.0,518.0,109.0,307.0,125.0,-16,20220726
乾坤期货,0.0,0.0,529.0,-195.0,0.0,0.0,-195,20220726
五矿期货,467.0,-556.0,0.0,0.0,223.0,-66.0,66,20220726
先锋期货,438.0,327.0,0.0,0.0,0.0,0.0,0,20220726
兴证期货,1482.0,-691.0,1102.0,263.0,552.0,9.0,254,20220726
华泰期货,1073.0,-596.0,985.0,181.0,747.0,2.0,179,20220726
华西期货,0.0,0.0,267.0,-45.0,256.0,33.0,-78,20220726
华闻期货,2632.0,-547.0,956.0,-117.0,934.0,-75.0,-42,20220726
国信期货,990.0,317.0,574.0,264.0,488.0,222.0,42,20220726
国富期货,0.0,0.0,388.0,-69.0,0.0,0.0,-69,20220726
国投安信,0.0,0.0,384.0,13.0,0.0,0.0,13,20220726
国泰君安,5361.0,250.0,2072.0,128.0,2994.0,373.0,-245,20220726
大有期货,434.0,-323.0,0.0,0.0,0.0,0.0,0,20220726
平安期货,827.0,-13.0,351.0,31.0,276.0,8.0,23,20220726
广发期货,626.0,-204.0,254.0,-87.0,1009.0,35.0,-122,20220726
建信期货,0.0,0.0,0.0,0.0,408.0,-5.0,5,20220726
永安期货,773.0,-12.0,426.0,184.0,400.0,35.0,149,20220726
浙商期货,0.0,0.0,0.0,0.0,261.0,-18.0,18,20220726
海通期货,2211.0,-723.0,578.0,-181.0,922.0,-420.0,239,20220726
申银万国,630.0,-135.0,645.0,232.0,331.0,16.0,216,20220726
银河期货,527.0,-295.0,244.0,-82.0,476.0,123.0,-205,20220726
上海东证,4136.0,318.0,1660.0,-546.0,1492.0,-508.0,-38,20220727
东兴期货,571.0,-550.0,783.0,103.0,788.0,110.0,-7,20220727
东吴期货,521.0,159.0,0.0,0.0,0.0,0.0,0,20220727
中信建投,744.0,91.0,418.0,87.0,248.0,33.0,54,20220727
中信期货,5823.0,1109.0,3298.0,724.0,3041.0,205.0,519,20220727
