,volume,volchange,buyvol,buyvolchange,sellvol,sellvolchange,net_vol_diff,datetime
一德期货,2853.0,2664.0,0.0,0.0,0.0,0.0,0,20210104
上海东证,8644.0,65.0,9300.0,-166.0,8135.0,-558.0,392,20210104
上海中期,449.0,-14.0,0.0,0.0,0.0,0.0,0,20210104
东兴期货,5023.0,-52.0,3636.0,24.0,2284.0,292.0,-268,20210104
东吴期货,0.0,0.0,0.0,0.0,1574.0,35.0,-35,20210104
中信建投,4173.0,35.0,2142.0,136.0,4759.0,-387.0,523,20210104
中信期货,14610.0,-1533.0,15943.0,-1726.0,30993.0,-1028.0,-698,20210104
中投天琪,0.0,0.0,0.0,0.0,3886.0,-12.0,12,20210104
中融汇信,946.0,420.0,0.0,0.0,0.0,0.0,0,20210104
中金期货,0.0,0.0,2646.0,0.0,4478.0,48.0,-48,20210104
乾坤期货,0.0,0.0,1798.0,0.0,0.0,0.0,0,20210104
五矿经易,6428.0,-194.0,3293.0,-20.0,1280.0,-236.0,216,20210104
光大期货,3827.0,-811.0,4537.0,69.0,4235.0,-204.0,273,20210104
兴业期货,0.0,0.0,0.0,0.0,1830.0,3.0,-3,20210104
兴证期货,6842.0,-560.0,4306.0,62.0,3670.0,-52.0,114,20210104
华泰期货,8753.0,-44.0,12609.0,382.0,25972.0,259.0,123,20210104
华西期货,1861.0,164.0,0.0,0.0,0.0,0.0,0,20210104
华闻期货,10829.0,-1263.0,2515.0,312.0,3430.0,480.0,-168,20210104
南华期货,2233.0,-1.0,2623.0,-71.0,0.0,0.0,-71,20210104
国信期货,878.0,-38.0,0.0,0.0,1256.0,24.0,-24,20210104
国元期货,0.0,0.0,0.0,0.0,540.0,-50.0,50,20210104
国富期货,3382.0,-155.0,1616.0,-446.0,0.0,0.0,-446,20210104
国投安信,3446.0,-281.0,4973.0,381.0,13334.0,81.0,300,20210104
国泰君安,18991.0,1511.0,13364.0,-540.0,14019.0,-705.0,165,20210104
天风期货,0.0,0.0,1406.0,60.0,0.0,0.0,60,20210104
宏源期货,2312.0,260.0,0.0,0.0,1173.0,-150.0,150,20210104
平安期货,0.0,0.0,1404.0,-12.0,1513.0,36.0,-48,20210104
广发期货,247.0,59.0,7178.0,-459.0,3117.0,-310.0,-149,20210104
招商期货,4137.0,-476.0,2741.0,231.0,5945.0,-50.0,281,20210104
方正中期,3936.0,-1076.0,1131.0,-26.0,1159.0,73.0,-99,20210104
永安期货,2453.0,-788.0,5186.0,133.0,8239.0,-84.0,217,20210104
浙商期货,0.0,0.0,2513.0,122.0,1054.0,23.0,99,20210104
海证期货,0.0,0.0,1249.0,449.0,1130.0,-15.0,464,20210104
海通期货,11921.0,-483.0,17483.0,-152.0,11353.0,-539.0,387,20210104
混沌天成,0.0,0.0,1311.0,2.0,0.0,0.0,2,20210104
瑞银期货,0.0,0.0,4298.0,91.0,0.0,0.0,91,20210104
申银万国,3972.0,-407.0,9721.0,-1337.0,6456.0,110.0,-1447,20210104
银河期货,6203.0,-55.0,5991.0,-95.0,7489.0,-760.0,665,20210104
长江期货,0.0,0.0,725.0,-2.0,0.0,0.0,-2,20210104
鲁证期货,352.0,-49.0,943.0,228.0,818.0,-36.0,264,20210104
上海东方,0.0,0.0,0.0,0.0,523.0,2.0,-2,20210105
上海东证,8280.0,-364.0,9464.0,164.0,8155.0,20.0,144,20210105
上海中期,393.0,-56.0,0.0,0.0,0.0,0.0,0,20210105
东兴期货,5154.0,131.0,3205.0,472.0,1934.0,-350.0,822,20210105
东吴期货,0.0,0.0,0.0,0.0,1565.0,-9.0,9,20210105
东海期货,2261.0,940.0,0.0,0.0,0.0,0.0,0,20210105
中信建投,3451.0,-722.0,2933.0,-318.0,4617.0,-142.0,-176,20210105
中信期货,14649.0,39.0,15870.0,-73.0,30521.0,-472.0,399,20210105
中投天琪,0.0,0.0,0.0,0.0,3994.0,108.0,-108,20210105
中融汇信,567.0,-379.0,0.0,0.0,0.0,0.0,0,20210105
中金期货,337.0,329.0,2654.0,8.0,5141.0,-280.0,288,20210105
乾坤期货,0.0,0.0,1798.0,0.0,0.0,0.0,0,20210105
五矿经易,6528.0,100.0,3340.0,47.0,1610.0,330.0,-283,20210105
光大期货,4648.0,821.0,4184.0,-353.0,4396.0,161.0,-514,20210105
兴业期货,0.0,0.0,0.0,0.0,1722.0,-108.0,108,20210105
兴证期货,7918.0,1076.0,4691.0,385.0,4425.0,755.0,-370,20210105
华泰期货,7512.0,-1241.0,12283.0,-326.0,25756.0,-216.0,-110,20210105
华西期货,1786.0,-75.0,0.0,0.0,0.0,0.0,0,20210105
华闻期货,10976.0,147.0,2062.0,-453.0,2046.0,-306.0,-147,20210105
南华期货,0.0,0.0,2119.0,-72.0,0.0,0.0,-72,20210105
国信期货,673.0,-205.0,0.0,0.0,1207.0,-49.0,49,20210105
国富期货,4524.0,986.0,1858.0,242.0,0.0,0.0,242,20210105
国投安信,4305.0,859.0,4804.0,-169.0,13058.0,-276.0,107,20210105
国泰君安,18206.0,-785.0,13429.0,65.0,13136.0,-883.0,948,20210105
天风期货,0.0,0.0,1422.0,16.0,0.0,0.0,16,20210105
宏源期货,0.0,0.0,0.0,0.0,1229.0,56.0,-56,20210105
平安期货,0.0,0.0,1375.0,-29.0,1456.0,-57.0,28,20210105
广发期货,544.0,57.0,7220.0,42.0,3411.0,294.0,-252,20210105
招商期货,3966.0,-171.0,2934.0,193.0,6013.0,68.0,125,20210105
方正中期,3805.0,-131.0,1097.0,-34.0,1149.0,-10.0,-24,20210105
永安期货,2904.0,683.0,5292.0,106.0,8145.0,-94.0,200,20210105
浙商期货,0.0,0.0,2474.0,-39.0,1044.0,-10.0,-29,20210105
海证期货,2090.0,122.0,0.0,0.0,1150.0,20.0,-20,20210105
海通期货,13854.0,1933.0,16905.0,-578.0,11369.0,16.0,-594,20210105
混沌天成,0.0,0.0,2891.0,337.0,0.0,0.0,337,20210105
瑞银期货,0.0,0.0,4391.0,93.0,0.0,0.0,93,20210105
申银万国,2987.0,-985.0,9180.0,-541.0,6073.0,-383.0,-158,20210105
西部期货,230.0,53.0,0.0,0.0,0.0,0.0,0,20210105
银河期货,5732.0,-703.0,6163.0,172.0,7017.0,-472.0,644,20210105
