,volume,volchange,buyvol,buyvolchange,sellvol,sellvolchange,net_vol_diff,datetime
一德期货,1244.0,71.0,10270.0,-220.0,0.0,0.0,-220,20210104
上海东证,11453.0,1641.0,6165.0,-174.0,20206.0,-173.0,-1,20210104
上海中期,198.0,-62.0,0.0,0.0,0.0,0.0,0,20210104
东兴期货,6661.0,-748.0,2287.0,-74.0,1737.0,-32.0,-42,20210104
东航期货,0.0,0.0,0.0,0.0,1060.0,-3.0,3,20210104
中信建投,2789.0,-521.0,1530.0,-235.0,5910.0,-266.0,31,20210104
中信期货,17629.0,-1963.0,14846.0,-922.0,26386.0,-1033.0,111,20210104
中国国际,323.0,304.0,0.0,0.0,0.0,0.0,0,20210104
中投天琪,0.0,0.0,0.0,0.0,401.0,-11.0,11,20210104
中粮期货,0.0,0.0,0.0,0.0,2801.0,55.0,-55,20210104
中融汇信,0.0,0.0,0.0,0.0,336.0,-1.0,1,20210104
中金期货,240.0,190.0,2651.0,0.0,9153.0,302.0,-302,20210104
乾坤期货,0.0,0.0,2188.0,0.0,0.0,0.0,0,20210104
五矿经易,7669.0,-1041.0,3274.0,-139.0,1703.0,-35.0,-104,20210104
光大期货,3765.0,-482.0,3404.0,9.0,3986.0,-264.0,273,20210104
兴业期货,0.0,0.0,0.0,0.0,2476.0,39.0,-39,20210104
兴证期货,8217.0,-1157.0,3307.0,-403.0,4196.0,-378.0,-25,20210104
华泰期货,8196.0,-1535.0,6777.0,72.0,14601.0,328.0,-256,20210104
华西期货,1502.0,28.0,0.0,0.0,0.0,0.0,0,20210104
华闻期货,10387.0,16.0,1961.0,-392.0,1731.0,-315.0,-77,20210104
南华期货,1346.0,-66.0,1176.0,235.0,253.0,63.0,172,20210104
国信期货,3653.0,-353.0,1444.0,-46.0,1631.0,-22.0,-24,20210104
国元期货,0.0,0.0,0.0,0.0,246.0,1.0,-1,20210104
国富期货,962.0,113.0,0.0,0.0,0.0,0.0,0,20210104
国投安信,3760.0,-446.0,3404.0,-35.0,4853.0,-204.0,169,20210104
国泰君安,17676.0,-3524.0,18607.0,-306.0,15271.0,-100.0,-206,20210104
大地期货,900.0,353.0,2146.0,-32.0,0.0,0.0,-32,20210104
大越期货,0.0,0.0,856.0,12.0,0.0,0.0,12,20210104
天风期货,0.0,0.0,475.0,-1.0,0.0,0.0,-1,20210104
平安期货,0.0,0.0,0.0,0.0,3044.0,-11.0,11,20210104
广发期货,2918.0,-514.0,6236.0,162.0,4052.0,-290.0,452,20210104
建信期货,0.0,0.0,0.0,0.0,4082.0,-148.0,148,20210104
招商期货,2754.0,-486.0,1659.0,48.0,4356.0,-134.0,182,20210104
摩根大通,0.0,0.0,4090.0,-26.0,0.0,0.0,-26,20210104
方正中期,3662.0,-783.0,0.0,0.0,0.0,0.0,0,20210104
格林大华,0.0,0.0,447.0,4.0,0.0,0.0,4,20210104
永安期货,2596.0,-1533.0,3265.0,-39.0,4128.0,17.0,-56,20210104
浙商期货,1044.0,-50.0,2132.0,-37.0,0.0,0.0,-37,20210104
海证期货,2475.0,-516.0,0.0,0.0,0.0,0.0,0,20210104
海通期货,13297.0,-1455.0,10091.0,-39.0,8355.0,22.0,-61,20210104
混沌天成,0.0,0.0,1764.0,41.0,0.0,0.0,41,20210104
瑞达期货,0.0,0.0,543.0,27.0,0.0,0.0,27,20210104
