合约代码,今开盘,最高价,最低价,成交量,成交金额,持仓量,持仓变化,今收盘,今结算,前结算,涨跌1,涨跌2,Delta,datetime
IC2001                        ,5300.0,5392.4,5281.0,68331,7312402.38,75083.0,2008.0,5361.8,5368.8,5266.8,95.0,102.0,--,20200102
IC2002                        ,5288.2,5373.6,5268.4,2172,231679.008,3898.0,592.0,5350.0,5359.2,5249.6,100.4,109.6,--,20200102
IC2003                        ,5269.6,5354.8,5256.6,16367,1741556.688,55293.0,586.0,5337.8,5341.8,5231.6,106.2,110.2,--,20200102
IC2006                        ,5210.0,5293.2,5186.2,10770,1131808.644,35677.0,501.0,5272.2,5278.0,5164.4,107.8,113.6,--,20200102
IC2001                        ,5375.4,5402.0,5358.0,56333,6058187.528,70973.0,-4110.0,5378.0,5385.0,5368.8,9.2,16.2,--,20200103
IC2002                        ,5371.8,5388.0,5345.2,1721,184617.388,3845.0,-53.0,5364.0,5372.6,5359.2,4.8,13.4,--,20200103
IC2003                        ,5342.2,5373.0,5333.4,12117,1296971.732,54324.0,-969.0,5350.0,5357.4,5341.8,8.2,15.6,--,20200103
IC2006                        ,5284.4,5312.6,5270.0,8707,921368.408,35922.0,245.0,5290.2,5296.4,5278.0,12.2,18.4,--,20200103
IC2001                        ,5360.2,5497.8,5357.6,78955,8582488.008,78765.0,7792.0,5433.0,5418.2,5385.0,48.0,33.2,--,20200106
IC2002                        ,5351.0,5485.8,5341.8,2500,271005.104,4711.0,866.0,5422.4,5407.8,5372.6,49.8,35.2,--,20200106
IC2003                        ,5311.4,5468.8,5311.4,19577,2116660.664,58297.0,3973.0,5410.0,5392.0,5357.4,52.6,34.6,--,20200106
IC2006                        ,5270.0,5407.6,5265.8,13506,1443256.952,37493.0,1571.0,5354.2,5330.4,5296.4,57.8,34.0,--,20200106
IC2001                        ,5443.0,5506.8,5438.6,68365,7480920.528,70861.0,-7904.0,5501.0,5488.8,5418.2,82.8,70.6,--,20200107
IC2002                        ,5435.2,5499.0,5425.4,3510,383344.352,5536.0,825.0,5492.0,5477.4,5407.8,84.2,69.6,--,20200107
IC2003                        ,5420.2,5484.8,5413.6,14733,1605166.864,56102.0,-2195.0,5479.0,5464.8,5392.0,87.0,72.8,--,20200107
IC2006                        ,5363.0,5428.8,5353.0,10278,1107837.308,37274.0,-219.0,5424.6,5408.4,5330.4,94.2,78.0,--,20200107
IC2001                        ,5480.4,5507.8,5405.2,79715,8704107.184,73487.0,2626.0,5433.6,5432.6,5488.8,-55.2,-56.2,--,20200108
IC2002                        ,5454.4,5495.6,5394.8,5202,566663.24,7633.0,2097.0,5421.0,5420.6,5477.4,-56.4,-56.8,--,20200108
IC2003                        ,5450.8,5482.8,5382.0,18017,1959016.1,59058.0,2956.0,5410.0,5408.8,5464.8,-54.8,-56.0,--,20200108
IC2006                        ,5390.0,5425.2,5323.2,13514,1453491.08,38627.0,1353.0,5353.8,5351.0,5408.4,-54.6,-57.4,--,20200108
IC2001                        ,5477.6,5501.0,5449.2,68051,7456651.888,65788.0,-7699.0,5498.0,5482.4,5432.6,65.4,49.8,--,20200109
IC2002                        ,5466.0,5491.8,5437.6,4910,537093.584,7706.0,73.0,5491.8,5470.4,5420.6,71.2,49.8,--,20200109
IC2003                        ,5458.8,5479.8,5423.4,18333,1999912.04,58494.0,-564.0,5469.8,5455.0,5408.8,61.0,46.2,--,20200109
IC2006                        ,5400.0,5425.6,5367.0,12450,1343601.664,38393.0,-234.0,5399.2,5385.8,5351.0,48.2,34.8,--,20200109
IC2001                        ,5514.8,5526.0,5446.0,65874,7216824.68,65628.0,-160.0,5468.0,5477.4,5482.4,-14.4,-5.0,--,20200110
