合约代码,今开盘,最高价,最低价,成交量,成交金额,持仓量,持仓变化,今收盘,今结算,前结算,涨跌1,涨跌2,Delta,datetime
IM2208                        ,7050.0,7085.2,6857.0,22153,3091913.32,17517.0,17517.0,6956.6,6934.2,7018.8,-62.2,-84.6,--,20220722
IM2209                        ,6987.0,7043.2,6807.0,6710,930226.732,5858.0,5858.0,6901.2,6877.4,6988.8,-87.6,-111.4,--,20220722
IM2212                        ,6895.8,6946.8,6667.6,3921,533484.84,3613.0,3613.0,6737.0,6719.4,6898.8,-161.8,-179.4,--,20220722
IM2303                        ,6800.0,6838.6,6530.0,3703,493444.812,3338.0,3338.0,6588.0,6572.4,6798.8,-210.8,-226.4,--,20220722
IM2208                        ,6974.2,7015.8,6850.0,22883,3169970.476,18747.0,1230.0,6878.6,6885.8,6934.2,-55.6,-48.4,--,20220725
IM2209                        ,6914.0,6959.2,6790.2,6248,858537.0,6213.0,355.0,6823.0,6833.2,6877.4,-54.4,-44.2,--,20220725
IM2212                        ,6737.4,6799.4,6640.6,2763,370973.74,3461.0,-152.0,6670.0,6673.2,6719.4,-49.4,-46.2,--,20220725
IM2303                        ,6587.0,6660.0,6497.4,2829,371971.54,3644.0,306.0,6515.0,6530.4,6572.4,-57.4,-42.0,--,20220725
IM2208                        ,6898.0,6994.0,6844.8,19269,2671200.584,20386.0,1639.0,6991.0,6964.4,6885.8,105.2,78.6,--,20220726
IM2209                        ,6833.2,6937.8,6793.0,6357,874615.768,7765.0,1552.0,6937.0,6909.0,6833.2,103.8,75.8,--,20220726
IM2212                        ,6670.0,6780.0,6638.6,2658,357531.16,4210.0,749.0,6777.2,6751.2,6673.2,104.0,78.0,--,20220726
IM2303                        ,6520.2,6629.2,6487.6,1899,250081.464,3684.0,40.0,6624.0,6606.0,6530.4,93.6,75.6,--,20220726
IM2208                        ,6982.0,7074.4,6965.2,19290,2711399.276,21390.0,1004.0,7066.2,7059.4,6964.4,101.8,95.0,--,20220727
IM2209                        ,6910.0,7021.4,6910.0,5374,749727.396,7206.0,-559.0,7015.0,7008.0,6909.0,106.0,99.0,--,20220727
IM2212                        ,6767.8,6864.6,6753.0,2693,367212.744,4272.0,62.0,6856.6,6849.4,6751.2,105.4,98.2,--,20220727
IM2303                        ,6609.6,6717.0,6601.2,1124,149892.708,3785.0,101.0,6715.0,6701.4,6606.0,109.0,95.4,--,20220727
IM2208                        ,7110.0,7171.4,7072.4,22464,3199380.992,24584.0,3194.0,7119.0,7112.4,7059.4,59.6,53.0,--,20220728
IM2209                        ,7068.8,7126.4,7023.4,7766,1099101.184,9682.0,2476.0,7074.0,7068.0,7008.0,66.0,60.0,--,20220728
IM2212                        ,6905.2,6970.0,6871.6,3256,451024.792,5135.0,863.0,6923.0,6921.4,6849.4,73.6,72.0,--,20220728
IM2303                        ,6750.2,6824.8,6724.4,1449,196397.196,3892.0,107.0,6787.6,6775.2,6701.4,86.2,73.8,--,20220728
IM2208                        ,7130.0,7152.0,7068.0,25025,3556014.512,25557.0,973.0,7087.0,7090.2,7112.4,-25.4,-22.2,--,20220729
IM2209                        ,7081.6,7105.8,7027.8,9450,1334339.616,11829.0,2147.0,7044.8,7047.2,7068.0,-23.2,-20.8,--,20220729
IM2212                        ,6938.4,6959.2,6879.4,3417,472335.7,5281.0,146.0,6891.8,6893.2,6921.4,-29.6,-28.2,--,20220729
IM2303                        ,6798.0,6819.8,6731.0,1392,188431.152,4053.0,161.0,6749.0,6748.4,6775.2,-26.2,-26.8,--,20220729
IM2208                        ,7070.2,7141.0,7004.4,22084,3130993.02,24149.0,-1408.0,7136.6,7130.0,7090.2,46.4,39.8,--,20220801
IM2209                        ,7032.0,7089.6,6960.2,6742,950076.628,10961.0,-868.0,7087.4,7079.2,7047.2,40.2,32.0,--,20220801
IM2212                        ,6882.0,6935.8,6807.4,2555,351858.844,5512.0,231.0,6930.0,6923.2,6893.2,36.8,30.0,--,20220801
IM2303                        ,6730.0,6788.2,6657.4,1435,193392.68,4309.0,256.0,6778.6,6773.8,6748.4,30.2,25.4,--,20220801
IM2208                        ,7070.0,7075.0,6820.4,37753,5245061.592,31769.0,7620.0,6948.2,6975.4,7130.0,-181.8,-154.6,--,20220802
IM2209                        ,7015.2,7015.4,6774.0,14493,1999776.404,14621.0,3660.0,6905.0,6925.2,7079.2,-174.2,-154.0,--,20220802
IM2212                        ,6873.8,6873.8,6617.8,4260,574594.332,6575.0,1063.0,6767.0,6772.0,6923.2,-156.2,-151.2,--,20220802
IM2303                        ,6702.6,6706.6,6470.0,1853,244642.924,4517.0,208.0,6612.0,6630.0,6773.8,-161.8,-143.8,--,20220802
IM2208                        ,6990.0,7062.0,6860.8,32325,4520482.06,29243.0,-2526.0,6882.8,6914.6,6975.4,-92.6,-60.8,--,20220803
IM2209                        ,6935.0,7009.6,6816.0,12043,1673380.684,15381.0,760.0,6841.8,6868.8,6925.2,-83.4,-56.4,--,20220803
IM2212                        ,6781.4,6859.2,6665.0,3379,458791.092,6786.0,211.0,6688.8,6710.4,6772.0,-83.2,-61.6,--,20220803
IM2303                        ,6635.0,6715.8,6519.2,1829,242977.916,4919.0,402.0,6536.8,6562.4,6630.0,-93.2,-67.6,--,20220803
IM2208                        ,6933.0,6942.8,6778.2,35394,4861552.848,30899.0,1656.0,6890.8,6872.0,6914.6,-23.8,-42.6,--,20220804
IM2209                        ,6891.0,6895.0,6729.0,12415,1693649.072,17634.0,2253.0,6843.0,6822.6,6868.8,-25.8,-46.2,--,20220804
IM2212                        ,6732.2,6750.0,6570.6,4490,598820.864,7457.0,671.0,6687.6,6663.0,6710.4,-22.8,-47.4,--,20220804
IM2303                        ,6576.8,6605.0,6427.6,1893,246648.604,5227.0,308.0,6537.6,6510.8,6562.4,-24.8,-51.6,--,20220804
IM2208                        ,6903.4,7080.8,6903.4,31492,4399359.616,28786.0,-2113.0,7080.0,7051.4,6872.0,208.0,179.4,--,20220805
IM2209                        ,6863.8,7028.4,6855.2,10251,1420830.508,17740.0,106.0,7026.6,6995.6,6822.6,204.0,173.0,--,20220805
IM2212                        ,6701.2,6874.0,6696.0,4142,561318.576,8083.0,626.0,6872.8,6842.8,6663.0,209.8,179.8,--,20220805
IM2303                        ,6560.2,6733.0,6541.4,1680,223022.728,5388.0,161.0,6730.8,6695.0,6510.8,220.0,184.2,--,20220805
IM2208                        ,7060.0,7145.0,7039.6,20853,2959627.7,26514.0,-2272.0,7132.2,7130.6,7051.4,80.8,79.2,--,20220808
IM2209                        ,7017.2,7093.0,6987.0,8044,1134097.956,17873.0,133.0,7081.2,7081.2,6995.6,85.6,85.6,--,20220808
IM2212                        ,6868.4,6938.4,6832.0,3166,436379.116,8091.0,8.0,6922.0,6924.0,6842.8,79.2,81.2,--,20220808
IM2303                        ,6717.8,6789.8,6683.6,1241,167263.6,5574.0,186.0,6770.0,6770.6,6695.0,75.0,75.6,--,20220808
IM2208                        ,7120.0,7164.8,7084.4,18871,2690369.828,25359.0,-1155.0,7160.6,7154.4,7130.6,30.0,23.8,--,20220809
IM2209                        ,7068.2,7110.0,7030.6,8627,1220531.104,19162.0,1289.0,7106.6,7099.4,7081.2,25.4,18.2,--,20220809
IM2212                        ,6912.4,6945.6,6867.0,3152,435486.732,8524.0,433.0,6940.4,6935.2,6924.0,16.4,11.2,--,20220809
IM2303                        ,6762.8,6796.2,6718.0,1184,160156.432,5949.0,375.0,6789.0,6786.4,6770.6,18.4,15.8,--,20220809
IM2208                        ,7138.0,7202.0,7130.0,21848,3132424.456,26391.0,1032.0,7168.4,7158.2,7154.4,14.0,3.8,--,20220810
IM2209                        ,7082.6,7144.0,7075.0,8796,1251345.792,19935.0,773.0,7115.0,7102.4,7099.4,15.6,3.0,--,20220810
IM2212                        ,6925.2,6979.6,6913.4,2645,367744.876,8717.0,193.0,6950.8,6940.2,6935.2,15.6,5.0,--,20220810
IM2303                        ,6765.2,6828.6,6758.8,1334,181352.564,5877.0,-72.0,6796.0,6787.0,6786.4,9.6,0.6,--,20220810
IM2208                        ,7201.4,7287.6,7179.6,22671,3283346.204,24871.0,-1520.0,7284.8,7278.6,7158.2,126.6,120.4,--,20220811
IM2209                        ,7165.0,7235.0,7126.6,9386,1349717.604,21086.0,1151.0,7228.8,7227.0,7102.4,126.4,124.6,--,20220811
IM2212                        ,6993.2,7074.8,6967.2,3823,537377.544,9406.0,689.0,7069.2,7066.8,6940.2,129.0,126.6,--,20220811
IM2303                        ,6832.0,6922.8,6813.0,1836,252602.676,6525.0,648.0,6918.2,6913.2,6787.0,131.2,126.2,--,20220811
